iter	MultiClass
0	1.084263666
1	1.070777213
2	1.059142032
3	1.04913025
4	1.039512024
5	1.030563583
6	1.022732126
7	1.015266574
8	1.008054371
9	1.001442402
10	0.9957617516
11	0.990856141
12	0.9859356316
13	0.9813692033
14	0.9775797971
15	0.974002837
16	0.9705121337
17	0.9671833412
18	0.9642765007
19	0.9612843
20	0.9585934102
21	0.9562809559
22	0.9539390701
23	0.9518508817
24	0.9497397416
25	0.9476545095
26	0.9458098261
27	0.9438175215
28	0.942272037
29	0.9407748794
30	0.9393999054
31	0.937913122
32	0.9366095516
33	0.9354499887
34	0.9343792364
35	0.9331805027
36	0.9322946274
37	0.9314809491
38	0.9303894853
39	0.9293929705
40	0.9285639928
41	0.9277055903
42	0.926698081
43	0.9258679298
44	0.9250694061
45	0.9242543512
46	0.9234017193
47	0.9225613526
48	0.9218987534
49	0.9212505342
50	0.9207293703
51	0.9201502708
52	0.9195544764
53	0.918945341
54	0.9186622178
55	0.9181740379
56	0.9175013344
57	0.916894457
58	0.916330933
59	0.9157198908
60	0.9152166532
61	0.9147140247
62	0.9141777755
63	0.9137023495
64	0.9131866595
65	0.9126270977
66	0.9122278662
67	0.9119163329
68	0.9115063781
69	0.9111433688
70	0.9107136752
71	0.910370694
72	0.9100364438
73	0.9097145823
74	0.9093625389
75	0.9089869518
76	0.908611077
77	0.908240376
78	0.9080160436
79	0.9075888182
80	0.9072494721
81	0.9069627505
82	0.9065392548
83	0.9062065683
84	0.9058943716
85	0.9055822088
86	0.9051563857
87	0.9049346082
88	0.9046444462
89	0.9042823542
90	0.9039649985
91	0.9037090479
92	0.9034332654
93	0.9030861134
94	0.9027723907
95	0.9026498479
96	0.9022839977
97	0.9021010457
98	0.9019270818
99	0.9016654734
100	0.9013449448
101	0.9010757086
102	0.9008939679
103	0.9006646082
104	0.9004245333
105	0.9001046713
106	0.8999111323
107	0.8996887743
108	0.8994554986
109	0.8992984617
110	0.8990391462
111	0.8987957148
112	0.8985983234
113	0.8982063087
114	0.8979725537
115	0.8978215621
116	0.8975898777
117	0.8974355334
118	0.8971878496
119	0.8970458201
120	0.8967874909
121	0.8965272836
122	0.8963262482
123	0.8961526632
124	0.8960253307
125	0.8958383288
126	0.8955942483
127	0.8953200723
128	0.8951147364
129	0.8949532713
130	0.894755265
131	0.894414342
132	0.8942054237
133	0.8940118203
134	0.8938646898
135	0.8937198631
136	0.8935340302
137	0.893345913
138	0.8932109135
139	0.892926723
140	0.8927128142
141	0.8925073218
142	0.8923414897
143	0.8921457728
144	0.8919246044
145	0.8916954294
146	0.8915359808
147	0.8914140394
148	0.8911816358
149	0.8909739903
150	0.8907767917
151	0.8903799882
152	0.8902043902
153	0.8900488841
154	0.8898884499
155	0.889649539
156	0.8894288186
157	0.8892238205
158	0.8890940889
159	0.8888071947
160	0.8886092567
161	0.8884936095
162	0.888187643
163	0.8879780642
164	0.8878398533
165	0.8876552965
166	0.8873160973
167	0.8872201714
168	0.8871158596
169	0.8867896981
170	0.8865187699
171	0.8863954746
172	0.886241592
173	0.8860538956
174	0.8859104403
175	0.885644074
176	0.8855018333
177	0.8852743539
178	0.8850833303
179	0.8849272736
180	0.8847516356
181	0.8845172144
182	0.8843398666
183	0.8840636537
184	0.8838853515
185	0.883718596
186	0.8834509454
187	0.8832557369
188	0.8829208433
189	0.8828129741
190	0.8826392137
191	0.8824609112
192	0.8823359854
193	0.8822021379
194	0.8820358304
195	0.8818353635
196	0.881615625
197	0.8814771205
198	0.8813483098
199	0.8810423263
200	0.8809348799
201	0.880809451
202	0.8806269891
203	0.8804793653
204	0.8803102325
205	0.8800996619
206	0.8799140745
207	0.8797027332
208	0.8795629106
209	0.8794543524
210	0.8792651292
211	0.8790735663
212	0.8787004937
213	0.8784100805
214	0.878136892
215	0.8779927899
216	0.8776670165
217	0.8774852816
218	0.8772808225
219	0.8771154774
220	0.8770238652
221	0.8766883634
222	0.8765021267
223	0.876330946
224	0.8760897383
225	0.8759943688
226	0.8757887484
227	0.8755714631
228	0.8754057748
229	0.8751914675
230	0.874927361
231	0.8748232103
232	0.8746006915
233	0.8743859996
234	0.8742500149
235	0.874118341
236	0.8739752084
237	0.8737986458
238	0.8736006991
239	0.8734192665
240	0.8732600671
241	0.8731031518
242	0.8730096628
243	0.872867026
244	0.8725817731
245	0.8723461287
246	0.8720868132
247	0.8718692602
248	0.871741268
249	0.8715164191
250	0.8712449232
251	0.8710749829
252	0.87091614
253	0.870765682
254	0.8706603743
255	0.870374022
256	0.8702316017
257	0.8699538899
258	0.8697224097
259	0.8695944834
260	0.8693822221
261	0.8691264335
262	0.86895368
263	0.868712349
264	0.8685360923
265	0.8683823984
266	0.8681341721
267	0.8679767126
268	0.8678754676
269	0.867706193
270	0.8674427306
271	0.8673003875
272	0.8671637895
273	0.8670275656
274	0.8668221277
275	0.8666551513
276	0.8663409066
277	0.8661283784
278	0.866014175
279	0.8658082249
280	0.865632797
281	0.8654319756
282	0.865195301
283	0.8650766232
284	0.8649379595
285	0.8647375673
286	0.8646103896
287	0.8643750779
288	0.8641081465
289	0.8639177148
290	0.8636674886
291	0.8634963761
292	0.8634186342
293	0.8632465573
294	0.8629802275
295	0.8627742846
296	0.8625350923
297	0.8622655005
298	0.8620202745
299	0.8618216691
300	0.8615714312
301	0.8614451385
302	0.8611796806
303	0.8610166011
304	0.8607749979
305	0.8604915995
306	0.8602874369
307	0.8601097777
308	0.859976105
309	0.8597787935
310	0.8596323458
311	0.8594847667
312	0.8592584022
313	0.8591305185
314	0.8590354581
315	0.8588485741
316	0.8587434822
317	0.8586287162
