iter	Passed	Remaining
0	136	67985
1	146	36374
2	153	25468
3	161	20066
4	169	16751
5	177	14574
6	185	13040
7	193	11883
8	200	10939
9	208	10230
10	216	9611
11	224	9141
12	232	8722
13	240	8365
14	249	8065
15	257	7791
16	265	7531
17	273	7322
18	280	7113
19	288	6926
20	296	6764
21	304	6614
22	313	6494
23	320	6364
24	328	6245
25	336	6137
26	344	6035
27	352	5940
28	359	5845
29	366	5747
30	373	5656
31	381	5574
32	388	5502
33	395	5426
34	403	5358
35	409	5281
36	416	5212
37	423	5145
38	429	5077
39	437	5026
40	444	4976
41	451	4926
42	459	4885
43	467	4843
44	475	4803
45	481	4754
46	489	4713
47	496	4679
48	504	4638
49	511	4606
50	518	4564
51	526	4534
52	533	4503
53	542	4479
54	550	4455
55	558	4428
56	568	4415
57	576	4394
58	583	4363
59	591	4337
60	598	4309
61	606	4281
62	613	4255
63	620	4226
64	627	4201
65	634	4174
66	642	4149
67	649	4126
68	657	4105
69	665	4086
70	673	4068
71	680	4047
72	688	4024
73	695	4001
74	701	3976
75	708	3954
76	716	3933
77	723	3914
78	730	3891
79	737	3870
80	743	3847
81	750	3828
82	758	3809
83	765	3790
84	772	3772
85	779	3753
86	787	3739
87	794	3720
88	801	3700
89	808	3682
90	815	3664
91	822	3647
92	829	3629
93	836	3614
94	843	3596
95	850	3578
96	857	3561
97	864	3546
98	871	3528
99	878	3512
100	884	3496
101	891	3478
102	897	3460
103	905	3447
104	912	3433
105	920	3420
106	927	3405
107	934	3391
108	941	3377
109	948	3361
110	955	3347
111	962	3335
112	969	3320
113	976	3307
114	983	3293
115	989	3276
116	996	3263
117	1003	3250
118	1011	3237
119	1018	3224
120	1024	3209
121	1031	3197
122	1038	3183
123	1045	3171
124	1052	3158
125	1060	3147
126	1067	3134
127	1074	3123
128	1081	3111
129	1088	3098
130	1095	3086
131	1103	3076
132	1110	3064
133	1118	3053
134	1124	3040
135	1131	3028
136	1138	3016
137	1146	3007
138	1152	2993
139	1160	2982
140	1166	2970
141	1174	2961
142	1181	2949
143	1188	2937
144	1195	2926
145	1201	2913
146	1209	2904
147	1215	2891
148	1222	2880
149	1229	2869
150	1236	2857
151	1243	2847
152	1250	2835
153	1257	2825
154	1264	2813
155	1270	2802
156	1277	2791
157	1284	2779
158	1291	2769
159	1298	2758
160	1305	2747
161	1311	2735
162	1318	2725
163	1325	2716
164	1332	2705
165	1339	2695
166	1346	2685
167	1354	2675
168	1360	2665
